0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:47 +0800] "GET /SecureCloud/resource/uipackage/logo/logo-big.png HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:47 +0800] "GET /SecureCloud/resource/img/index-2.0/small-weibo-c.png HTTP/1.1" 200 3927
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:47 +0800] "GET /SecureCloud/resource/library/font-awesome/font/fontawesome-webfont.woff HTTP/1.1" 200 31840
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:47 +0800] "GET /SecureCloud/resource/img/syncfusion-icons-white.png HTTP/1.1" 200 5550
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:47 +0800] "GET /SecureCloud/resource/uipackage/data/data.json HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:47 +0800] "GET /SecureCloud/resource/library/uniform/images/sprite.png HTTP/1.1" 200 31621
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/index.jsp HTTP/1.1" 200 18120
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/resource/library/bootstrap/css/bootstrap-responsive.min.css HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/anxinzhuoyue/css/style_default.css HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/resource/library/gritter/css/jquery.gritter.css HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/resource/library/data-tables/css/jquery.dataTables.min.css HTTP/1.1" 200 13614
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/resource/js/securecloud.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/resource/css/windowbox.css HTTP/1.1" 200 814
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/resource/library/breakpoints/breakpoints.js HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [07/Apr/2016:10:38:50 +0800] "GET /SecureCloud/resource/library/data-tables/js/jquery.dataTables.min.js HTTP/1.1" 200 82644
